,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
45,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,380,0,0,0,1,0,0,0,0,0,0
46,0,0,0,1,6,0,1,0,9,8,0,18,1,5,0,0,0,0,4,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,2,4,9,0,1,1,1,1,1,0,0,421,0,2,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,0,0,1,1,18,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0
48,0,1,0,0,2,0,0,1,0,2,0,25,1,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,7,0,2,0,0,1,0,0,0,0,0,436,0,0,0,0,0,0,1
49,0,1,2,1,1,1,0,0,1,1,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,18,1,0,0,3,0,0,0,615,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,177,0,0,0,0,0
51,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,1,152,0,0,0,0
52,0,0,0,0,3,0,0,0,0,2,0,8,0,1,0,0,0,0,2,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,1,0,0,2,0,0,0,0,0,599,0,0,0
53,0,0,0,0,1,0,0,1,1,3,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
54,0,0,0,0,0,0,6,0,0,2,0,5,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
55,0,0,1,0,1,0,0,0,0,1,0,13,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,301
